"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep316551_k100_mv1d",1.7948018248739,0.720268801303898,"858ed4564f11795ec13dda4c10a3c5d4",10,"vagina","momspi","Integrative Human Microbiome Project"
"ep316551_k20_mv1d",0.663554482123834,0.255914278082297,"858ed4564f11795ec13dda4c10a3c5d4",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep316551_k30_mv1d",1.23972774035966,0.553466859750017,"858ed4564f11795ec13dda4c10a3c5d4",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep318569_k10_mv1d",0.403987098881831,0.183248392598672,"858ed4564f11795ec13dda4c10a3cd49",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep318569_k20_mv1d",1.64061729879231,0.62719723183391,"858ed4564f11795ec13dda4c10a3cd49",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep318569_k30_mv1d",1.72228064471542,0.732875570047559,"858ed4564f11795ec13dda4c10a3cd49",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep318569_k40_mv1d",1.98398777805344,0.718738795537403,"858ed4564f11795ec13dda4c10a3cd49",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep318569_k60_mv1d",2.02113735393432,0.74977371625753,"858ed4564f11795ec13dda4c10a3cd49",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep319072_k10_mv1d",0.923808521129255,0.555283901187301,"858ed4564f11795ec13dda4c10a3cd5f",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep319072_k60_mv1d",2.2973243391835,0.836956428505592,"858ed4564f11795ec13dda4c10a3cd5f",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep319164_k10_mv1d",0.241182667359815,0.0960199038183285,"858ed4564f11795ec13dda4c10a3d0cd",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep323428_k10_mv1d",2.25943618864577,0.815073489956359,"858ed4564f11795ec13dda4c10a3e053",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep323428_k100_mv1d",2.05722236139817,0.828225413471772,"858ed4564f11795ec13dda4c10a3e053",10,"vagina","momspi","Integrative Human Microbiome Project"
"ep323428_k20_mv1d",2.16047622528274,0.800323811835544,"858ed4564f11795ec13dda4c10a3e053",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep323428_k30_mv1d",1.79102506718005,0.687698260571036,"858ed4564f11795ec13dda4c10a3e053",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep323428_k40_mv1d",2.84174326019086,0.896738181725622,"858ed4564f11795ec13dda4c10a3e053",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep325547_k10_mv1d",1.12559745649054,0.538028534794559,"76612bd9a41885add4f6b0b768418b6b",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep325547_k20_mv1d",1.86498241787774,0.788672725572309,"76612bd9a41885add4f6b0b768418b6b",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep325547_k30_mv1d",1.95538493868,0.813831513060614,"76612bd9a41885add4f6b0b768418b6b",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep325577_k10_mv1d",1.47709556605149,0.630650981673261,"858ed4564f11795ec13dda4c10a3e3d1",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep327746_k10_mv1d",1.21791840495165,0.532584794630638,"858ed4564f11795ec13dda4c10a3eebb",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep327746_k20_mv1d",1.45346634108047,0.644489014890347,"858ed4564f11795ec13dda4c10a3eebb",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep327746_k30_mv1d",1.73903507461759,0.77371368339615,"858ed4564f11795ec13dda4c10a3eebb",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep327746_k90_mv1d",1.48161840718163,0.630498174277192,"858ed4564f11795ec13dda4c10a3eebb",9,"vagina","momspi","Integrative Human Microbiome Project"
"ep328824_k10_mv1d",0.299577908661524,0.0941142713693516,"e50d0c183689e4053ccb35f8b29ec250",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep328824_k20_mv1d",0.25108957625392,0.0807173397450938,"e50d0c183689e4053ccb35f8b29ec250",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep328824_k30_mv1d",0.389847904909348,0.146501971873338,"e50d0c183689e4053ccb35f8b29ec250",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep328824_k40_mv1d",0.242079002002899,0.0733322758348783,"e50d0c183689e4053ccb35f8b29ec250",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep328824_k50_mv1d",2.12929743115136,0.80719131892653,"e50d0c183689e4053ccb35f8b29ec250",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep331612_k10_mv1d",1.11295534158661,0.572454843766617,"88af6472fb03642dd5eaf8cddcbfed30",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep331612_k20_mv1d",0.332839212316601,0.106359026589558,"88af6472fb03642dd5eaf8cddcbfed30",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep331612_k30_mv1d",0.78216288133311,0.442232141346773,"88af6472fb03642dd5eaf8cddcbfed30",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep331612_k40_mv1d",1.42930140469269,0.625837985157757,"88af6472fb03642dd5eaf8cddcbfed30",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep333268_k20_mv1d",2.70660302413042,0.882287941085696,"e50d0c183689e4053ccb35f8b29ec803",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep333268_k70_mv1d",2.85197907161393,0.913448352339998,"e50d0c183689e4053ccb35f8b29ec803",7,"vagina","momspi","Integrative Human Microbiome Project"
